experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu
77,7,rwbu,treat,15,1,0,0,0,0,1
77,8,rvbu,treat,15,1,0,0,1,1,0
78,1,control,con,15,1,1,0,0,0,0
78,2,control,con,15,1,1,0,0,1,0
78,3,control,con,15,1,1,0,0,1,0
78,4,control,con,15,1,1,0,0,0,0
78,5,jawe,treat,15,1,1,1,1,1,0
78,6,rvbu,treat,15,1,1,1,0,1,1
78,7,rvbu,treat,15,1,1,0,0,0,0
78,8,rwbu,treat,15,1,1,0,0,0,0
79,1,control,con,15,1,1,0,0,0,0
79,2,control,con,15,1,1,0,0,0,1
79,3,control,con,15,1,1,0,0,0,0
79,4,control,con,15,1,1,0,0,0,1
79,5,jawe,treat,15,1,1,1,0,1,1
79,6,jawe,treat,15,1,1,1,0,0,0
79,7,rvbu,treat,15,1,1,0,0,1,1
79,8,rwbu,treat,15,1,1,0,0,0,0
80,1,control,con,15,1,1,0,0,0,1
80,2,control,con,15,1,1,0,0,0,0
80,3,control,con,15,1,1,0,0,0,1
80,4,control,con,15,1,1,1,0,0,1
80,5,jawe,treat,15,1,1,0,0,0,1
80,6,rvbu,treat,15,1,1,1,1,1,0
80,7,jawe,treat,15,1,1,1,0,0,0
80,8,rble,treat,15,1,1,1,1,1,0
